seller_id,seller_zip_code_prefix,seller_city,seller_state
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP
00ee68308b45bc5e2660cd833c3f81cc,3333,sao paulo,SP
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR
0241d4d5d36f10f80c644447315af0bd,80330,curitiba,PR
034b9387752bfa309f350a70cd45ffa3,89036,blumenau,SC
039b29ff3b3473435d0cd59040575de9,9443,ribeirao pires,SP
0417b067eeab773d2f7061a726dc477f,89288,sao bento do sul,SC
04308b1ee57b6625f47df1d56f00eedf,88215,bombinhas,SC
048c2757535328e0d7dac690ad3c0aae,14406,franca,SP
054694fa03fe82cec4b7551487331d74,15840,itajobi,SP
058fd0aa2bfdb2274e05e1ae971dabb6,9020,santo andre,SP
05d2173d43ea568aa0540eba70d2ca76,37135,alfenas,MG
05ff92fedb5be47920fea08e501238b9,98803,santo angelo,RS
066a6914e1ebf3ea95a216c73a986b91,85863,foz do iguacu,PR
0691148aee60ca47977c187804f935ae,86010,londrina,PR
06a2c3af7b3aee5d69171b0e14f0ee87,65072,sao luis,MA
06bb3a2fe5e7b7a845b13e8fb91bd944,31844,belo horizonte,MG
06e5eefc71ec47ae763c5c6f8db7064f,91350,porto alegre,RS
079d295dcbf06ee8bb1b65ba964eb2b6,2124,sao paulo,SP
07bf9669d84d1f11be443a9dd938f698,4761,sao paulo,SP
080102cd0a76b09e0dcf55fcacc60e05,31140,belo horizonte,MG
0887a9f087bcd5d9f6642b52f897fc6c,11990,cananeia,SP
099095b050cfe8eb1ddff5317587e96e,3322,sao paulo,SP
0adac9fbd9a2b63cccaac4f8756c1ca8,13290,louveira,SP
0ade5cc4a305ed7093a23f68ca47519c,81030,curitiba,PR
0afccdb8a34ee5c79f7c06faf2b4d56e,38400,uberlandia,MG
0b90b6df587eb83608a64ea8b390cf07,87025,maringa,PR
0bae85eb84b9fb3bd773911e89288d54,88301,itajai,SP
0be8ff43f22e456b4e0371b2245e4d01,4461,sao paulo,SP
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
0c7f30ae9b147eca07affbef92832a6a,84020,ponta grossa,PR
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
0cbcee27c791afa0cdcb08587a2013a8,37410,tres coracoes,MG
0d33a55da925bbf1ff02af5f6059fc7f,5632,sao paulo,SP
0db783cfcd3b73998abc6e10e59a102f,11010,santos,SP
0ea22c1cfbdc755f86b9b54b39c16043,35700,sete lagoas,MG
0ef83d7d83ed97cd2a0049ac8be5f88a,80230,curitiba,PR
10076e5788b8ee532724bcd460baf762,14315,batatais,SP
1025f0e2d44d7041d6cf58b6550e0bfa,3204,sao paulo,SP
1127b7f2594683f2510f1c2c834a486b,13087,campinas,SP
113e3a788b935f48aad63e1c41dac1bd,12570,aparecida,SP
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP
128639473a139ac0f3e5f5ade55873a5,87050,maringa,PR
128f9bfbe4c7d5185033914b1de3d39a,12940,atibaia,SP
12b9676b00f60f3b700e83af21824c0e,95780,montenegro,RS
134b867a0f7f8bbe6abf10f91874891e,13272,valinhos,SP
138dbe45fc62f1e244378131a6801526,2215,sao paulo,SP
1464afc72f696af775557a821c2e253f,28630,nova friburgo,RJ
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
16090f2ca825584b5a147ab24aa30c86,12940,atibaia,SP
17306570e772e7718c92a562d33f5f1d,17250,bariri,SP
179d859f51292aac5c10806a356f7af9,9411,ribeirao pires,SP
17a053fcb14bd219540cbde0df490be0,13843,mogi guacu,SP
17ca9b9e9b9ef8fdb529001b49ebb50f,32677,betim,MG
17e34d8224d27a541263c4c64b11a56b,14085,riberao preto,SP
1835b56ce799e6a4dc4eddc053f04066,14940,ibitinga,SP
189ca3538ce9f920cacf0f982cbe223b,3589,sao paulo,SP
18a349e75d307f4b4cc646a691ed4216,1319,sao paulo,SP
1900267e848ceeba8fa32d80c1a5f5a8,14940,ibitinga,SP
1a3df491d1c4f1589fc2b934ada68bf2,89224,joinville,SC
1a932caad4f9d804097d7f8e615baed1,2976,sao paulo,SP
1b4c3a6f53068f0b6944d2d005c9fc89,88730,sao ludgero,SC
1b8356dabde1d35e17cef975c3f82730,3477,sao paulo,SP
1b8b75e227c9a9c100d0c210fb6176ce,5468,sao paulo,SP
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
1bb2bdb95f4841f1bba2c0d2cd83d3c9,1257,sao paulo,SP
1c129092bf23f28a5930387c980c0dfc,2972,sao paulo,SP
1c68394e931a64f90ea236c5ea590300,87114,sarandi,PR
1ca7077d890b907f89be8c954a02686a,6506,santana de parnaiba,SP
1cbd32d00d01bb8087a5eb088612fd9c,3363,sp / sp,SP
1cd9e0cc1839d55516843def5600816d,3951,sao paulo,SP
1d4587203296c8f4ad134dc286fa6db0,5101,sao paulo,SP
1d8dbc4f32378d715c717c1c1fc57bae,86706,arapongas,PR
1da3aeb70d7989d1e6d9b0e887f97c23,4265,sao paulo,SP
1dd33b8119b3cb1056ed5dc88cd0aaf4,4710,sao paulo,SP
1e8b33f18b4f7598d87f5cbee2282cc2,2066,sao paulo,SP
1eade46fba20122dc4aefb379f8c636b,2066,sao paulo,SP
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
20d83f3ef0e6925fd74bfd59170babf7,2804,sao paulo,SP
2138ccb85b11a4ec1e37afbd1c8eda1f,8250,sao paulo,SP
218d46b86c1881d022bce9c68a7d4b15,14070,ribeirao preto,SP
21e83881401b92b49fb09a16d3852291,38405,uberlandia,MG
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
25c5c91f63607446a97b143d2d535d31,35680,itauna,MG
270297ead4c65a6cd2593960d2af6b21,4696,sao paulo,SP
2745f798279e0ed033addcc1474776d7,3106,sao paulo,SP
27a56ff04b34c2ba34ce6ba4d3b9d616,13033,campinas,SP
282c7480173bb9c01dd41cc739fec010,4795,sao paulo,SP
28405831a29823802aa22c084cfd0649,3644,sao paulo,SP
2a261b5b644fa05f4f2700eb93544f2c,13660,porto ferreira,SP
2a7dc43cecabf23403078e2188437d1d,4142,sao paulo,SP
2a84855fd20af891be03bc5924d2b453,30111,belo horizonte,MG
2b3e4a2a3ea8e01938cabda2a3e5cc79,4733,sao paulo,SP
2c9e548be18521d1c43cde1c582c6de8,8752,mogi das cruzes,SP
2e1c9f22be269ef4643f826c9e650a52,4850,sao paulo,SP
2e90cb1677d35cfe24eef47d441b7c87,2285,sao paulo,SP
2eb70248d66e0e3ef83659f71b244378,13101,campinas,SP
30829ded4523ab9224b93bc49a62c95f,95360,parai,RS
30a81d8cf85fb2ada1b1b094c9583a95,3563,sao paulo,SP
31344c16881c08a8a72c6d2eb29918c1,36500,uba,MG
31561f325664a8a7aba4c8d0c3a9b3db,3287,sao paulo,SP
318f287a62ab7ac10b703ac37435a231,4773,sao paulo,SP
31ae0774c17fabd06ff707cc5bde005f,13478,americana,SP
323ce52b5b81df2cd804b017b7f09aa7,3306,sao paulo,SP
32f1bb9dfa65bc7df5c0d9d95a616be4,4705,sao paulo,SP
33a17d60c64393351ebf1ef860f4e0f2,91510,porto alegre,RS
34d1ca11b242c0fee2c834ae8d788566,36415,congonhas,MG
3504c0cb71d7fa48d967e0e4c94d59d9,9350,maua,SP
36a968b544695394e4e9d7572688598f,11010,santos,SP
37515688008a7a40ac93e3b2e4ab203f,17900,dracena,SP
376a891762bbdecbc02b4b6adec3fdda,74323,goiania,GO
37be5a7c751166fbc5f8ccba4119e043,4248,sao paulo,SP
382229d1e840115ffe3dbf5ff460e417,23092,rio de janeiro,RJ
391fc6631aebcf3004804e51b40bcf1e,14940,ibitinga,SP
392e0502231ae2f8b29994ef6398cd77,18760,cerqueira cesar,SP
39d54ff918774174706fb065d7f9dc07,4243,sao paulo,SP
3a1a1fec38dd360f15fc912e821e169d,2451,sao paulo,SP
3a3c180dd702a725bd0ba4117689239e,84600,uniao da vitoria,PR
3c7c4a49ec3c6550809089c6a2ca9370,3804,sao paulo,SP
3d2400ac620cffa23ac81bd192f7f555,9810,sao bernardo do campo,SP
3d4824f20035949c710eaf111f869d39,18015,sorocaba,SP
3d871de0142ce09b7081e2b9d1733cb1,13232,campo limpo paulista,SP
3db66a856d18a9cba7c9241fc5221c50,35430,ponte nova,MG
41b39e28db005d9731d9d485a83b4c38,9220,santo andre,SP
42b729f859728f5079499127a9c2ef37,3910,sao paulo,SP
42ef3192a9ff87a22d1867b74b3ee205,9090,santo andre,SP
4305fe92735c8a43d154ff6dd2b8d927,35170,coronel fabriciano,MG
4371b634e0efc0e22b09b52907d9d469,2028,sao paulo,SP
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,DF
440dd6ab244315c632130ecfb63827b1,15502,votuporanga,SP
46dc3b2cc0980fb8ec44634e21d2718e,22240,rio de janeiro,RJ
47efca563408aae19bb7206c2d969ea9,64033,teresina,PI
48162d548f5b1b11b9d29d1e01f75a61,13403,piracicaba,SP
4830e40640734fc1c52cd21127c341d4,3573,sao paulo,SP
48436dade18ac8b2bce089ec2a041202,27277,volta redonda,SP
4869f7a5dfa277a7dca6462dcf3b52b2,14840,guariba,SP
4917cee8d902e13428c3ec4b1ca6f315,89031,blumenau,SC
4978a02ea9c8be7a9b5480680f40334e,8215,sao paulo,SP
4a3ca9315b744ce9f8e9374361493884,14940,ibitinga,SP
4a3ccda38b2129705f3fb522db62ca31,17504,marilia,SP
4b9750c8ad28220fe6702d4ecb7c898f,13484,limeira,SP
4c18691b6037662be2df78a765d98ab5,3167,sao paulo,SP
4c2b230173bb36f9b240f2b8ac11786e,3933,sao paulo,SP
4c498c7345e89aebad651544829beca0,6341,carapicuiba,SP
4d6d651bd7684af3fffabd5f08d12e5a,17209,jau,SP
4de6e4ba574aa9dfdc824bc44dc47fdd,83402,colombo,PR
4e06067cc08b3f41d837768d392c3ee3,32604,betim,MG
4e17c65a516f69d023a2ae78b84f28d6,8673,suzano,SP
4e7c18b98d84e05cbae3ff0ff03846c2,14882,jaboticabal,SP
4e8dacf3d38f281ae26c3e0321d92d88,8420,sao paulo,SP
4e922959ae960d389249c378d1c939f5,12327,jacarei,SP
4fe2f67634d00c021aa01f96b6f2d68e,87035,maringa,PR
516e7738bd8f735ac19a010ee5450d8d,22230,rio de janeiro,RJ
51702dc2a3e106c76dbff722b5bf0726,13835,conchal,SP
520b493b57809f446cb0a233bb3e25c7,11075,santos,SP
522620dcb18a6b31cd7bdf73665113a9,85801,cascavel,PR
527801b552d0077ffd170872eb49683b,17400,garca,SP
528ce32f560edd11add4169f6a5b65be,18130,sao roque,SP
52f0fe436a347ddad7ed5f9aa4e27eaa,1129,sao paulo,SP
530ec6109d11eaaf87999465c6afee01,85807,cascavel,PR
53243585a1d6dc2643021fd1853d8905,42738,lauro de freitas,BA
5343d0649eca2a983820bfe93fc4d17e,9270,santo andre,SP
534a01cc6df1e034e05c32028a291fa2,13214,jundiai,SP
537eb890efff034a88679788b647c564,20270,rio de janeiro,RJ
53e4c6e0f4312d4d2107a8c9cddf45cd,13920,pedreira,SP
54965bbe3e4f07ae045b90b0b8541f52,85851,foz do iguacu,PR
54a1852d1b8f10312c55e906355666ee,13456,santa barbara d'oeste,SP
5563732abe64c3036cb97ad924128dd1,7192,guarulhos,SP
55bb6fe5bebe5012e2d7d9928e1128ff,17052,bauru,SP
55d3daac7c404d59e51c2aa2f4dc5a23,2150,sao paulo,SP
562fc2f2c2863ab7e79a9e4388a58a14,13070,campinas,SP
5656537e588803a555b8eb41f07a944b,72015,brasilia,DF
5670f4db5b62c43d542e1b2d56b0cf7c,3694,sao paulo,SP
57c764b4a836300be881e2ff86e449f9,14021,ribeirao preto,SP
57e632711dec9ec14ca7546769483e7e,88372,navegantes,SC
582d4f8675b945722eda7c0cb61ba4c7,11250,bertioga,SP
58e4b302b54937e55a678c4d15111da4,83402,colombo,PR
59417c56835dd8e2e72f91f809cd4092,13480,limeira,SP
59b22a78efb79a4797979612b885db36,38414,uberlandia,MG
59fb871bf6f4522a87ba567b42dafecf,3655,sao paulo,SP
5b35136197710e16ac5e7b7c2bd4ea85,22640,rio de janeiro,RJ
5b581417df4480f632484ba681e53944,88050,florianopolis,SC
5b664594895aefb418afaee6d40a9a23,25750,petropolis,RJ
5b925e1d006e9476d738aa200751b73b,4567,sao paulo,SP
5bffbafbb22daf6d3bfc216a46db8708,26525,nilopolis,RJ
5c243662ce92d84573bfaff24c3e3700,3702,sao paulo,SP
5c853bb56f70f4d14218944bae111d7a,6715,cotia,SP
5cf1ec37aea089f45110c70653a166ab,2215,sao paulo,SP
5d0363b33554b373851fc1622e4d5f3c,12952,atibaia,SP
5dc203c7b84a0e71e878a179de05fb9a,17580,pompeia,SP
5dceca129747e92ff8ef7a997dc4f8ca,13450,santa barbara d´oeste,SP
5debea795b07621e1f90532e18f96145,86800,apucarana,PR
5eeb9c756d9780b96283e5a2ac6da334,14010,ribeirao preto,SP
5f2684dab12e59f83bef73ae57724e45,5125,sao paulo,SP
5f3ae9136c875522250f8184f253413a,1550,sao paulo,SP
602044f2c16190c2c6e45eb35c2e21cb,14940,ibitinga,SP
6039e27294dc75811c0d8a39069f52c0,6162,osasco,SP
612170e34b97004b3ba37eae81836b4c,93542,novo hamburgo,RS
